# Übersetzungstabelle des Spiels.
# Format:  "<deutscher Quelltext>","<englisch>","<spanisch>","<französisch>"
# Deutsch ist die Quellsprache (= Fallback) und steht direkt im Code – darum gibt es
# hier nur die Zielsprachen en/es/fr. Geladen zur Laufzeit von scripts/Localization.gd.
# Fehlt eine es/fr-Zelle, greift automatisch der Fallback (Englisch).
# Zeilen, die mit # beginnen, sind Kommentare. \n im Text = Zeilenumbruch.
key,en,es,fr
"Tempo macht deine Autos schneller, sodass sie in derselben Zeit mehr Runden fahren und du mehr verdienst. Dein aktuelles Auto hat aber eine Höchstgeschwindigkeit – ist sie erreicht, geht es erst mit einem besseren Auto aus der Werkstatt weiter.","Speed makes your cars faster, so they complete more laps in the same time and you earn more. But your current car has a top speed – once it's reached, you need a better car from the workshop to keep going.","La velocidad hace que tus coches sean más rápidos, así completan más vueltas en el mismo tiempo y ganas más. Pero tu coche actual tiene una velocidad máxima: una vez alcanzada, necesitas un coche mejor del taller para seguir.","La vitesse rend tes voitures plus rapides, elles bouclent donc plus de tours dans le même temps et tu gagnes plus. Mais ta voiture actuelle a une vitesse maximale : une fois atteinte, il te faut une meilleure voiture de l'atelier pour continuer."
"Der Tile-Bonus gibt dir {value} Währung zusätzlich für jedes Feld, über das dein Auto fährt – ganz egal, welches Feld du baust.","The tile bonus gives you {value} extra currency for every tile your car drives over – no matter which tile you build.","El bono de casilla te da {value} de moneda adicional por cada casilla por la que pase tu coche, sin importar qué casilla construyas.","Le bonus de case te donne {value} de monnaie supplémentaire pour chaque case sur laquelle roule ta voiture, peu importe la case que tu construis."
"Die Fahrzeit bestimmt, wie lange ein Lauf dauert. Je länger gefahren wird, desto mehr Runden schaffen deine Autos pro Lauf.","Drive time determines how long a run lasts. The longer the driving, the more laps your cars complete per run.","El tiempo de conducción determina cuánto dura una ronda. Cuanto más se conduce, más vueltas completan tus coches por ronda.","Le temps de conduite détermine la durée d'une manche. Plus on roule longtemps, plus tes voitures bouclent de tours par manche."
"Der End-Multiplikator vervielfacht den gesamten Ertrag einer Runde ganz am Ende. Jede Stufe macht damit jeden Lauf wertvoller.","The final multiplier multiplies a lap's entire yield right at the end. Each level makes every run more valuable.","El multiplicador final multiplica toda la ganancia de una vuelta justo al final. Cada nivel hace que cada ronda valga más.","Le multiplicateur final multiplie tout le gain d'un tour tout à la fin. Chaque niveau rend ainsi chaque manche plus précieuse."
"Jede Stufe gibt dir ein weiteres Auto auf der Strecke. Mehr Autos bedeuten mehr Runden gleichzeitig und damit mehr Währung.","Each level gives you another car on the track. More cars mean more laps at once and therefore more currency.","Cada nivel te da otro coche en la pista. Más coches significan más vueltas a la vez y, por tanto, más moneda.","Chaque niveau te donne une voiture de plus sur le circuit. Plus de voitures signifie plus de tours simultanés et donc plus de monnaie."
"Schaltet +5-Felder frei. Sie werden automatisch auf der Strecke platziert (nicht von dir gebaut). Fährt ein Auto darüber, gibt es zusätzliche Währung obendrauf.","Unlocks +5 tiles. They are placed automatically on the track (not built by you). When a car drives over one, you get extra currency on top.","Desbloquea casillas +5. Se colocan automáticamente en la pista (no las construyes tú). Cuando un coche pasa por encima, obtienes moneda adicional.","Débloque les cases +5. Elles sont placées automatiquement sur le circuit (pas construites par toi). Quand une voiture passe dessus, tu obtiens de la monnaie en plus."
"Schaltet +10-Felder frei – wie die +5-Felder, nur mit doppeltem Bonus. Sie werden ebenfalls automatisch auf der Strecke platziert.","Unlocks +10 tiles – like the +5 tiles, only with double the bonus. They are also placed automatically on the track.","Desbloquea casillas +10, como las casillas +5 pero con el doble de bono. También se colocan automáticamente en la pista.","Débloque les cases +10 – comme les cases +5, mais avec un bonus double. Elles sont aussi placées automatiquement sur le circuit."
"Schaltet ×1.5-Felder frei (werden automatisch platziert). Sie multiplizieren den bis dahin gesammelten Ertrag einer Runde, statt nur etwas dazuzuaddieren.","Unlocks ×1.5 tiles (placed automatically). They multiply the lap yield collected so far instead of just adding to it.","Desbloquea casillas ×1.5 (se colocan automáticamente). Multiplican la ganancia acumulada de una vuelta hasta ese punto, en lugar de solo sumar algo.","Débloque les cases ×1.5 (placées automatiquement). Elles multiplient le gain accumulé d'un tour jusque-là, au lieu de simplement ajouter un peu."
"Auto 2 verschmilzt mehrere normale Autos zu einem einzigen Kombi-Auto: Es fährt langsamer, bringt aber pro Feld viel mehr Währung und am Ende einen extra Multiplikator. Du brauchst dafür genug Autos und genug Tempo.","Car 2 merges several normal cars into a single combo car: it drives slower but earns much more currency per tile plus an extra multiplier at the end. You need enough cars and enough speed for it.","El coche 2 fusiona varios coches normales en un único coche combinado: va más lento, pero da mucha más moneda por casilla y un multiplicador extra al final. Para ello necesitas suficientes coches y suficiente velocidad.","La voiture 2 fusionne plusieurs voitures normales en une seule voiture combinée : elle roule plus lentement, mais rapporte beaucoup plus de monnaie par case et un multiplicateur supplémentaire à la fin. Il te faut pour cela assez de voitures et assez de vitesse."
"Erd-Gerade: ein von Anfang an gratis Streckenteil. Jedes überfahrene Feld bringt etwas Währung; dieses Upgrade erhöht den Ertrag pro Erd-Gerade.","Dirt straight: a track part that's free from the start. Every tile driven over yields some currency; this upgrade increases the yield per dirt straight.","Recta de tierra: una pieza gratis desde el principio. Cada casilla recorrida da algo de moneda; esta mejora aumenta la ganancia por recta de tierra.","Ligne droite en terre : une pièce gratuite dès le début. Chaque case parcourue rapporte un peu de monnaie ; cette amélioration augmente le gain par ligne droite en terre."
"Erd-Kurve: gratis Kurvenstück. Wie die Erd-Gerade, nur als Kurve – das Upgrade steigert den Ertrag pro Erd-Kurve.","Dirt curve: a free curve piece. Like the dirt straight, but as a curve – the upgrade increases the yield per dirt curve.","Curva de tierra: pieza de curva gratis. Como la recta de tierra, pero en curva: la mejora aumenta la ganancia por curva de tierra.","Virage en terre : pièce de virage gratuite. Comme la ligne droite en terre, mais en virage – l'amélioration augmente le gain par virage en terre."
"Normale Gerade: bringt mehr Währung pro Feld als die Erd-Variante. Das Upgrade erhöht den Ertrag pro Gerade.","Normal straight: yields more currency per tile than the dirt variant. The upgrade increases the yield per straight.","Recta normal: da más moneda por casilla que la variante de tierra. La mejora aumenta la ganancia por recta.","Ligne droite normale : rapporte plus de monnaie par case que la variante en terre. L'amélioration augmente le gain par ligne droite."
"Normale Kurve: bringt mehr Währung pro Feld als die Erd-Variante. Das Upgrade erhöht den Ertrag pro Kurve.","Normal curve: yields more currency per tile than the dirt variant. The upgrade increases the yield per curve.","Curva normal: da más moneda por casilla que la variante de tierra. La mejora aumenta la ganancia por curva.","Virage normal : rapporte plus de monnaie par case que la variante en terre. L'amélioration augmente le gain par virage."
"Rennstrecke: ein eigenes, hochwertiges Streckenteil. Sie bringt deutlich mehr Währung pro Feld als die normale Gerade und multipliziert deren Ertrag zusätzlich mit ×1.2. Das Upgrade erhöht den Ertrag pro Renngerade.","Racing straight: a premium track part of its own. It yields noticeably more currency per tile than the normal straight and additionally multiplies that yield by ×1.2. The upgrade increases the yield per racing straight.","Recta de carreras: una pieza propia de alta calidad. Da bastante más moneda por casilla que la recta normal y además multiplica su ganancia por ×1.2. La mejora aumenta la ganancia por recta de carreras.","Ligne droite de course : une pièce haut de gamme à part entière. Elle rapporte nettement plus de monnaie par case que la ligne droite normale et multiplie en plus son gain par ×1.2. L'amélioration augmente le gain par ligne droite de course."
"Rennkurve: das Kurvenstück der Rennstrecke. Sie bringt deutlich mehr Währung pro Feld als die normale Kurve und multipliziert deren Ertrag zusätzlich mit ×1.2. Das Upgrade erhöht den Ertrag pro Rennkurve.","Racing curve: the curve piece of the racing track. It yields noticeably more currency per tile than the normal curve and additionally multiplies that yield by ×1.2. The upgrade increases the yield per racing curve.","Curva de carreras: la pieza de curva de la pista de carreras. Da bastante más moneda por casilla que la curva normal y además multiplica su ganancia por ×1.2. La mejora aumenta la ganancia por curva de carreras.","Virage de course : la pièce de virage du circuit de course. Il rapporte nettement plus de monnaie par case que le virage normal et multiplie en plus son gain par ×1.2. L'amélioration augmente le gain par virage de course."
"Eisgerade: gibt keine Währung, macht dein Auto aber auf den folgenden Feldern schneller – mehr Tempo bedeutet mehr Runden. Das Upgrade verstärkt Boost und Reichweite.","Ice straight: gives no currency but makes your car faster on the following tiles – more speed means more laps. The upgrade boosts both effect and range.","Recta de hielo: no da moneda, pero hace que tu coche sea más rápido en las siguientes casillas: más velocidad significa más vueltas. La mejora refuerza el impulso y el alcance.","Ligne droite de glace : ne donne pas de monnaie, mais rend ta voiture plus rapide sur les cases suivantes – plus de vitesse signifie plus de tours. L'amélioration renforce le boost et la portée."
"Rampe: lässt das Auto über das nächste Kreuzungsfeld springen. Dort verdoppelt sie den Ertrag UND verstärkt zusätzlich alle anderen Multiplikatoren des übersprungenen Feldes; die Rampe selbst verdoppelt ihren eigenen Ertrag. Das Upgrade erhöht Ertrag und Sprung-Faktor.","Ramp: lets the car jump over the next intersection tile. There it doubles the yield AND additionally amplifies all other multipliers of the jumped-over tile; the ramp itself doubles its own yield. The upgrade increases the yield and the jump factor.","Rampa: hace que el coche salte por encima de la siguiente casilla de cruce. Allí duplica la ganancia Y además refuerza todos los demás multiplicadores de la casilla saltada; la propia rampa duplica su propia ganancia. La mejora aumenta la ganancia y el factor de salto.","Rampe : fait sauter la voiture par-dessus la prochaine case d'intersection. Là, elle double le gain ET renforce en plus tous les autres multiplicateurs de la case survolée ; la rampe elle-même double son propre gain. L'amélioration augmente le gain et le facteur de saut."
"Steilwandkurve: eine 180°-Kehre. Sie bringt Währung und gibt dem Auto danach einen Tempo-Schub. Das Upgrade steigert beides.","Banked curve: a 180° hairpin. It yields currency and gives the car a speed boost afterwards. The upgrade increases both.","Curva peraltada: una horquilla de 180°. Da moneda y luego proporciona al coche un impulso de velocidad. La mejora aumenta ambos.","Virage relevé : une épingle à 180°. Il rapporte de la monnaie et donne ensuite à la voiture un coup de vitesse. L'amélioration augmente les deux."
"Looping: ein ganz normaler Multiplikator – vervielfacht den Ertrag seines Feldes um den Faktor. Das Upgrade erhöht den Faktor.","Loop: a perfectly normal multiplier – multiplies the yield of its tile by the factor. The upgrade increases the factor.","Rizo: un multiplicador totalmente normal: multiplica la ganancia de su casilla por el factor. La mejora aumenta el factor.","Looping : un multiplicateur tout à fait normal – multiplie le gain de sa case par le facteur. L'amélioration augmente le facteur."
"Portal: teleportiert dein Auto von einem Ende zum anderen und gibt bei jedem Durchgang viel Währung. Es gibt immer genau zwei pro Strecke. Das Upgrade erhöht den Ertrag.","Portal: teleports your car from one end to the other and gives a lot of currency on each pass. There are always exactly two per track. The upgrade increases the yield.","Portal: teletransporta tu coche de un extremo al otro y da mucha moneda en cada paso. Siempre hay exactamente dos por pista. La mejora aumenta la ganancia.","Portail : téléporte ta voiture d'un bout à l'autre et donne beaucoup de monnaie à chaque passage. Il y en a toujours exactement deux par circuit. L'amélioration augmente le gain."
"Tribüne: nicht befahrbar, vervielfacht aber den Ertrag der direkt benachbarten Felder. Mehrere nebeneinander stapeln den Effekt. Das Upgrade erhöht den Multiplikator.","Grandstand: not drivable, but multiplies the yield of the directly adjacent tiles. Several next to each other stack the effect. The upgrade increases the multiplier.","Tribuna: no es transitable, pero multiplica la ganancia de las casillas directamente contiguas. Varias juntas acumulan el efecto. La mejora aumenta el multiplicador.","Tribune : non praticable, mais multiplie le gain des cases directement adjacentes. Plusieurs côte à côte cumulent l'effet. L'amélioration augmente le multiplicateur."

# ── Sand-Strecke, rebalancte Beläge & Test-Beläge (neu) ───────────────────────
"Sand-Gerade","Sand straight","Recta de arena","Ligne droite de sable"
"Sand-Kurve","Sand curve","Curva de arena","Virage de sable"
"Eis (Gerade + Kurve)","Ice (straight + curve)","Hielo (recta + curva)","Glace (ligne droite + virage)"
"+150 Ertrag","+150 yield","+150 de ganancia","+150 de gain"
"+1000 Ertrag · ×1.2","+1000 yield · ×1.2","+1000 de ganancia · ×1.2","+1000 de gain · ×1.2"
"Sand-Geraden-Ertrag (+ je Gerade)","Sand straight yield (+ per straight)","Ganancia de recta de arena (+ por recta)","Gain ligne droite de sable (+ par ligne droite)"
"Sand-Kurven-Ertrag (+ je Kurve)","Sand curve yield (+ per curve)","Ganancia de curva de arena (+ por curva)","Gain virage de sable (+ par virage)"
"Sand-Gerade: die günstigste bezahlte Strecke, etwas ertragreicher als Erde. Das Upgrade erhöht den Ertrag pro Sand-Gerade.","Sand straight: the cheapest paid track, a bit more profitable than dirt. The upgrade increases the yield per sand straight.","Recta de arena: la pista de pago más barata, algo más rentable que la tierra. La mejora aumenta la ganancia por recta de arena.","Ligne droite de sable : le circuit payant le moins cher, un peu plus rentable que la terre. L'amélioration augmente le gain par ligne droite de sable."
"Sand-Kurve: das Kurvenstück der günstigen Sand-Strecke. Das Upgrade erhöht den Ertrag pro Sand-Kurve.","Sand curve: the curve piece of the cheap sand track. The upgrade increases the yield per sand curve.","Curva de arena: la pieza de curva de la barata pista de arena. La mejora aumenta la ganancia por curva de arena.","Virage de sable : la pièce de virage du circuit de sable bon marché. L'amélioration augmente le gain par virage de sable."
"Wasser-Gerade","Water straight","Recta de agua","Ligne droite d'eau"
"Wasser-Kurve","Water curve","Curva de agua","Virage d'eau"
"Kleber-Gerade","Glue straight","Recta de pegamento","Ligne droite de colle"
"Kleber-Kurve","Glue curve","Curva de pegamento","Virage de colle"
"Kleber (Gerade + Kurve)","Glue (straight + curve)","Pegamento (recta + curva)","Colle (ligne droite + virage)"
"Kleber-Ertrag (+ je Feld, bremst)","Glue yield (+ per tile, slows)","Ganancia de pegamento (+ por casilla, frena)","Gain de colle (+ par case, ralentit)"
"+50k /Feld · bremst","+50k /tile · slows","+50k /casilla · frena","+50k /case · ralentit"
"Test · noch kein Effekt","Test · no effect yet","Prueba · aún sin efecto","Test · pas encore d'effet"

# ── Prestige-Baum: Knoten & Beschreibungen ────────────────────────────────────
"×-Einkommen","×-Income","×-Ingresos","×-Revenu"
"Multipliziert allen verdienten Lauf-Ertrag (×2, ×3, ×4 …).","Multiplies all earned run yield (×2, ×3, ×4 …).","Multiplica toda la ganancia obtenida por ronda (×2, ×3, ×4 …).","Multiplie tout le gain de manche obtenu (×2, ×3, ×4 …)."
"+1 Punkt (→2)","+1 point (→2)","+1 punto (→2)","+1 point (→2)"
"Du erhältst dauerhaft 2 Prestige-Punkte pro Prestige statt 1.","You permanently get 2 prestige points per prestige instead of 1.","Obtienes permanentemente 2 puntos de prestigio por prestigio en lugar de 1.","Tu obtiens en permanence 2 points de prestige par prestige au lieu de 1."
"+1 Punkt (→3)","+1 point (→3)","+1 punto (→3)","+1 point (→3)"
"Du erhältst dauerhaft 3 Prestige-Punkte pro Prestige.","You permanently get 3 prestige points per prestige.","Obtienes permanentemente 3 puntos de prestigio por prestigio.","Tu obtiens en permanence 3 points de prestige par prestige."
"Schaltet Strecke 2 und 3 frei (eine je Stufe).","Unlocks tracks 2 and 3 (one per level).","Desbloquea las pistas 2 y 3 (una por nivel).","Débloque les circuits 2 et 3 (un par niveau)."
"Schaltet die Tribüne frei (danach im Shop noch für Geld freischaltbar).","Unlocks the grandstand (then still unlockable for money in the shop).","Desbloquea la tribuna (después aún se puede desbloquear con dinero en la tienda).","Débloque la tribune (ensuite encore déblocable contre de l'argent dans la boutique)."
"Verdienst-Skalierung","Earnings scaling","Escalado de ganancias","Mise à l'échelle des gains"
"Mehr Geld pro Prestige bringt zusätzliche Punkte (ab 400k +1, 900k +2, 1,6M +3 …).","More money per prestige grants extra points (from 400k +1, 900k +2, 1.6M +3 …).","Más dinero por prestigio otorga puntos adicionales (desde 400k +1, 900k +2, 1,6M +3 …).","Plus d'argent par prestige accorde des points supplémentaires (à partir de 400k +1, 900k +2, 1,6M +3 …)."
"Prestige-Punkte","Prestige points","Puntos de prestigio","Points de prestige"
"Prestige Fortschritt %d%%","Prestige progress %d%%","Progreso de prestigio %d%%","Progression du prestige %d%%"
"nach %d. Prestige","after prestige %d","tras el prestigio %d","après le prestige %d"
" Prestige-Baum nötig","Prestige tree needed"," Árbol de prestigio necesario"," Arbre de prestige requis"
# Prestige-Baum: weitere Knoten-Namen
"Auto-Startlevel","Car start level","Nivel inicial de coches","Niveau de départ des voitures"
"Break Prestige","Break Prestige","Romper el prestigio","Briser le prestige"
"Tile-Bonus-Start","Tile bonus start","Inicio del bono de casilla","Départ bonus de case"
"×2 Prestige-Punkte","×2 prestige points","×2 puntos de prestigio","×2 points de prestige"
"Steilwand","Banked curve","Curva peraltada","Virage relevé"
"× Auto","× Car","× Coche","× Voiture"
"Unendliche Fahrzeit","Infinite drive time","Tiempo de conducción infinito","Temps de conduite infini"
"Tempo-Start","Speed start","Inicio de velocidad","Départ de vitesse"
"End-Mult-Start","Final mult start","Inicio del mult. final","Départ mult. final"
# Prestige-Baum: weitere Knoten-Beschreibungen
"Je Stufe startet das Auto-Upgrade nach dem Prestige eine Stufe höher (ein Auto mehr).","Per level, the car upgrade starts one level higher after prestige (one more car).","Por nivel, la mejora de coches empieza un nivel más alto tras el prestigio (un coche más).","Par niveau, l'amélioration de voitures démarre un niveau plus haut après le prestige (une voiture de plus)."
"Einmalig: schaltet die Punkte-Skalierung frei. Danach bringt jedes Prestige Punkte nach dem verdienten Geld – statt nur 1.","One-time: unlocks point scaling. Afterwards each prestige grants points based on the money earned – instead of just 1.","Una vez: desbloquea el escalado de puntos. Después, cada prestigio otorga puntos según el dinero ganado, en lugar de solo 1.","Unique : débloque la mise à l'échelle des points. Ensuite, chaque prestige accorde des points selon l'argent gagné – au lieu d'un seul."
"Je Stufe startet das „Ertrag je Feld""-Upgrade nach dem Prestige fünf Stufen höher (max. Stufe 20 = Tile-Bonus voll).","Per level, the “yield per tile” upgrade starts five levels higher after prestige (max. level 20 = tile bonus maxed).","Por nivel, la mejora «ganancia por casilla» empieza cinco niveles más alto tras el prestigio (nivel máx. 20 = bono de casilla al máximo).","Par niveau, l'amélioration « gain par case » démarre cinq niveaux plus haut après le prestige (niveau max. 20 = bonus de case au maximum)."
"Freigeschaltete Default-Streckenteile bleiben nach dem Prestige gratis.","Unlocked default track parts stay free after prestige.","Las piezas de pista estándar desbloqueadas siguen siendo gratis tras el prestigio.","Les pièces de circuit standard débloquées restent gratuites après le prestige."
"Je Stufe verdoppeln sich die Prestige-Punkte pro Prestige (×2, ×4, ×8 …).","Per level, the prestige points per prestige double (×2, ×4, ×8 …).","Por nivel, los puntos de prestigio por prestigio se duplican (×2, ×4, ×8 …).","Par niveau, les points de prestige par prestige doublent (×2, ×4, ×8 …)."
"Schaltet die Steilwandkurve frei (danach im Shop noch für Geld freischaltbar).","Unlocks the banked curve (then still unlockable for money in the shop).","Desbloquea la curva peraltada (después aún se puede desbloquear con dinero en la tienda).","Débloque le virage relevé (ensuite encore déblocable contre de l'argent dans la boutique)."
"Multipliziert die Prestige-Punkte pro Prestige mit der Anzahl deiner Autos.","Multiplies prestige points per prestige by your number of cars.","Multiplica los puntos de prestigio por prestigio por tu número de coches.","Multiplie les points de prestige par prestige par votre nombre de voitures."
"Multipliziert die Prestige-Punkte pro Prestige mit der Anzahl deiner Autos: ×%d","Multiplies prestige points per prestige by your number of cars: ×%d","Multiplica los puntos de prestigio por prestigio por tu número de coches: ×%d","Multiplie les points de prestige par prestige par votre nombre de voitures : ×%d"
"Upgrade:","Upgrade:","Mejora:","Amélioration :"
"Besitze %s %s, um diesen Bereich dauerhaft freizuschalten.","Own %s %s to unlock this area permanently.","Ten %s %s para desbloquear esta zona permanentemente.","Possède %s %s pour débloquer cette zone définitivement."
"Sammle %s %s Prestige-Punkte, um diesen Bereich dauerhaft freizuschalten.","Collect %s %s prestige points to unlock this area permanently.","Reúne %s %s puntos de prestigio para desbloquear esta zona permanentemente.","Rassemble %s %s points de prestige pour débloquer cette zone définitivement."
"Einmalig: hebt das Zeitlimit auf – jede Strecke fährt endlos, bis du die Fahrt beendest.","One-time: removes the time limit – every track drives endlessly until you end the run.","Una vez: elimina el límite de tiempo: cada pista circula sin fin hasta que termines el recorrido.","Unique : supprime la limite de temps – chaque circuit roule sans fin jusqu'à ce que tu termines la course."
"Je Stufe startet das Tempo-Upgrade nach dem Prestige fünf Stufen höher.","Per level, the speed upgrade starts five levels higher after prestige.","Por nivel, la mejora de velocidad empieza cinco niveles más alto tras el prestigio.","Par niveau, l'amélioration de vitesse démarre cinq niveaux plus haut après le prestige."
"Schaltet das Looping frei (danach im Shop noch für Geld freischaltbar).","Unlocks the loop (then still unlockable for money in the shop).","Desbloquea el rizo (después aún se puede desbloquear con dinero en la tienda).","Débloque le looping (ensuite encore déblocable contre de l'argent dans la boutique)."
"Schaltet die Rampe frei (danach im Shop noch für Geld freischaltbar).","Unlocks the ramp (then still unlockable for money in the shop).","Desbloquea la rampa (después aún se puede desbloquear con dinero en la tienda).","Débloque la rampe (ensuite encore déblocable contre de l'argent dans la boutique)."
"Je Stufe startet das End-Multiplikator-Upgrade nach dem Prestige fünf Stufen höher.","Per level, the final multiplier upgrade starts five levels higher after prestige.","Por nivel, la mejora del multiplicador final empieza cinco niveles más alto tras el prestigio.","Par niveau, l'amélioration du multiplicateur final démarre cinq niveaux plus haut après le prestige."
"Schaltet das Portal frei (danach im Shop noch für Geld freischaltbar).","Unlocks the portal (then still unlockable for money in the shop).","Desbloquea el portal (después aún se puede desbloquear con dinero en la tienda).","Débloque le portail (ensuite encore déblocable contre de l'argent dans la boutique)."
# Prestige-Baum: Effekt-Texte (Knoten-Status, mit tr() in prestige_node_effect_text)
"+%d Auto","+%d car","+%d coche","+%d voiture"
"+%d Autos","+%d cars","+%d coches","+%d voitures"
"%d Strecke","%d track","%d pista","%d circuit"
"%d Strecken","%d tracks","%d pistas","%d circuits"
"+%d / Auto","+%d / car","+%d / coche","+%d / voiture"
"×%d Punkte","×%d points","×%d puntos","×%d points"
"Start Lv %d","Start Lv %d","Nivel inicial %d","Niveau de départ %d"
"freigeschaltet","unlocked","desbloqueado","débloqué"
"gesperrt","locked","bloqueado","verrouillé"
"endlos","endless","sin fin","sans fin"
"aktiv","active","activo","actif"
"aus","off","desactivado","désactivé"
"MAX (Stufe %d)","MAX (level %d)","MÁX (nivel %d)","MAX (niveau %d)"

# ── Werkstatt / Auto-Aufstieg / Garage (Auto-Konfiguration) ───────────────────
"Türkis","Teal","Turquesa","Turquoise"
"die Farbe","the color","el color","la couleur"
"das Muster","the pattern","el patrón","le motif"
"Nach dem Upgrade fährt nur noch das neue Auto auf der Strecke.","After the upgrade, only the new car drives on the track.","Tras la mejora, solo el coche nuevo circula por la pista.","Après l'amélioration, seule la nouvelle voiture roule sur le circuit."
"Es fährt nur das %s-Auto · jedes weitere Auto kostet %d Auto-Upgrades%s","Only the %s car drives · each extra car costs %d car upgrades%s","Solo circula el coche %s · cada coche extra cuesta %d mejoras de coche%s","Seule la voiture %s roule · chaque voiture supplémentaire coûte %d améliorations de voiture%s"
" (Lack/Muster folgt für dieses Modell)"," (paint/pattern coming for this model)"," (la pintura/patrón llegará para este modelo)"," (peinture/motif à venir pour ce modèle)"
"Erst genug Guthaben sammeln (%s)","First gather enough balance (%s)","Primero reúne saldo suficiente (%s)","Rassemble d'abord assez de solde (%s)"
"Erst genug Prestige-Punkte sammeln (%s)","First gather enough prestige points (%s)","Primero reúne suficientes puntos de prestigio (%s)","Rassemble d'abord assez de points de prestige (%s)"
"Zu wenig Trophäen – %d nötig (Erfolge bringen welche).","Not enough trophies – %d needed (achievements grant some).","Pocas copas: se necesitan %d (los logros otorgan algunas).","Pas assez de trophées – %d requis (les succès en accordent)."
"Verdiene 100K (seit dem letzten Prestige), um diesen Bereich dauerhaft freizuschalten.","Earn 100K (since the last prestige) to permanently unlock this area.","Gana 100K (desde el último prestigio) para desbloquear esta zona permanentemente.","Gagne 100K (depuis le dernier prestige) pour débloquer cette zone définitivement."
"Verdiene 100B (seit dem letzten Prestige), um diesen Bereich dauerhaft freizuschalten.","Earn 100B (since the last prestige) to permanently unlock this area.","Gana 100B (desde el último prestigio) para desbloquear esta zona permanentemente.","Gagne 100B (depuis le dernier prestige) pour débloquer cette zone définitivement."
"Sammle 1.000.000 Prestige-Punkte (⭐), um diesen Bereich dauerhaft freizuschalten.","Collect 1,000,000 prestige points (⭐) to permanently unlock this area.","Reúne 1 000 000 de puntos de prestigio (⭐) para desbloquear esta zona permanentemente.","Rassemble 1 000 000 de points de prestige (⭐) pour débloquer cette zone définitivement."

# ── Build-Modus / Streckenstatus / HUD ────────────────────────────────────────
"BAUMODUS","BUILD MODE","MODO CONSTRUCCIÓN","MODE CONSTRUCTION"
"  3D-Ansicht","  3D view","  Vista 3D","  Vue 3D"
# Bau-Kategorien (interne Schlüssel = deutscher Großbuchstaben-Name, via tr() im Header übersetzt)
"ERDE","DIRT","TIERRA","TERRE"
"ASPHALT","ASPHALT","ASFALTO","ASPHALTE"
"RENNSTRECKE","RACING","CARRERAS","COURSE"
"EIS","ICE","HIELO","GLACE"
"SAND","SAND","ARENA","SABLE"
"KLEBER","GLUE","PEGAMENTO","COLLE"
"WASSER","WATER","AGUA","EAU"
"SPEZIAL","SPECIAL","ESPECIAL","SPÉCIAL"
"Alles anzeigen","Show all","Mostrar todo","Tout afficher"
"Nur betroffene Felder","Only affected tiles","Solo casillas afectadas","Uniquement les cases concernées"
"Maximal %d Portale je Strecke","Max %d portals per track","Máximo %d portales por pista","Maximum %d portails par circuit"
"Tribüne ist voll gestapelt (×%d)","Grandstand fully stacked (×%d)","Tribuna apilada al máximo (×%d)","Tribune empilée au maximum (×%d)"
"Keine gültige Route – mind. 2 verbundene Tiles nötig.","No valid route – at least 2 connected tiles needed.","Ruta no válida: se necesitan al menos 2 casillas conectadas.","Aucun itinéraire valide – au moins 2 cases connectées nécessaires."
"Runde läuft – Strecke %d","Lap running – track %d","Vuelta en curso – pista %d","Tour en cours – circuit %d"
"Runde läuft für Strecke %d","Lap running for track %d","Vuelta en curso para la pista %d","Tour en cours pour le circuit %d"
"Schließen","Close","Cerrar","Fermer"

# ── Einstellungen: neue Optionen & Tooltips ───────────────────────────────────
"Geld-Notation:","Money notation:","Notación del dinero:","Notation de l'argent :"
"Standard (K/M/B/T)","Standard (K/M/B/T)","Estándar (K/M/B/T)","Standard (K/M/B/T)"
"Wissenschaftlich (e7)","Scientific (e7)","Científica (e7)","Scientifique (e7)"
"Ingenieur (e6/e9)","Engineering (e6/e9)","Ingeniería (e6/e9)","Ingénieur (e6/e9)"
"Multiplikatoren zeigen:","Show multipliers:","Mostrar multiplicadores:","Afficher les multiplicateurs :"
"FPS anzeigen:","Show FPS:","Mostrar FPS:","Afficher les FPS :"
"Erfolgs-Popups:","Achievement popups:","Avisos de logros:","Pop-ups de succès :"
"Shop-Hinweise:","Shop hints:","Pistas de la tienda:","Astuces de la boutique :"
"Performance-Modus:","Performance mode:","Modo de rendimiento:","Mode performance :"
"Musik bei Minimierung:","Music when minimized:","Música al minimizar:","Musique en réduction :"
"Ziel-Sound:","Finish sound:","Sonido de meta:","Son d'arrivée :"
"Spielt die Musik weiter, wenn das Fenster minimiert oder im Hintergrund ist.","Keeps the music playing when the window is minimized or in the background.","Mantiene la música en reproducción cuando la ventana está minimizada o en segundo plano.","Garde la musique en lecture quand la fenêtre est réduite ou en arrière-plan."
"Spielt einen Sound, wenn dein Auto in der 3D-Ansicht über die Ziellinie fährt.","Plays a sound when your car crosses the finish line in the 3D view.","Reproduce un sonido cuando tu coche cruza la meta en la vista 3D.","Joue un son quand ta voiture franchit la ligne d'arrivée en vue 3D."
